word,count,journal,in_that_journal
General Surgery,106,American journal of surgery,13
"Plants, Genetically Modified",106,Plant molecular biology,33
Organizational Innovation,106,The Journal of nursing administration,8
"Lymphoma, B-Cell",106,Blood,8
Verapamil,106,The American journal of physiology,10
Protein Interaction Mapping,106,BMC bioinformatics,13
Chimera,106,"Development (Cambridge, England)",8
Adrenal Glands,105,Endocrinology,12
HIV,105,Journal of virology,8
Capillary Permeability,105,The American journal of physiology,10
Hindlimb,105,American journal of physiology. Heart and circulatory physiology,6
Residence Characteristics,105,American journal of public health,9
Manometry,105,The American journal of gastroenterology,11
Lymphocyte Count,105,"Journal of immunology (Baltimore, Md. : 1950)",18
Deoxyglucose,105,The Journal of biological chemistry,9
Ouabain,105,The American journal of physiology,19
Breast Feeding,105,Pediatrics,8
Intraoperative Care,105,The Journal of urology,8
Vacuoles,105,Acta cytologica,6
Cardiomegaly,105,The American journal of physiology,10
Hypersensitivity,105,The Journal of allergy and clinical immunology,20
Neuroglia,105,The Journal of neuroscience : the official journal of the Society for Neuroscience,12
"Antibodies, Anti-Idiotypic",105,"Journal of immunology (Baltimore, Md. : 1950)",21
Walking,105,Journal of the American Geriatrics Society,7
"Radiotherapy, Adjuvant",105,"International journal of radiation oncology, biology, physics",11
Conjunctiva,105,American journal of ophthalmology,12
Suicide,105,Suicide & life-threatening behavior,9
Job Satisfaction,105,The Journal of applied psychology,10
Magnetics,105,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,7
Pharmaceutical Preparations,105,Journal of chromatography. A,13
Antitubercular Agents,105,Journal of clinical microbiology,6
Laryngeal Neoplasms,104,The Laryngoscope,17
Hormones,104,The American journal of physiology,10
Nanostructures,104,Journal of nanoscience and nanotechnology,36
Androgens,104,The Journal of clinical endocrinology and metabolism,14
"Receptors, Nicotinic",104,The Journal of neuroscience : the official journal of the Society for Neuroscience,8
Cephalometry,104,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",42
"Nursing Staff, Hospital",104,The Journal of nursing administration,21
Egtazic Acid,104,The Journal of biological chemistry,18
Nanoparticles,104,Langmuir : the ACS journal of surfaces and colloids,21
Osteoporosis,104,The Journal of clinical endocrinology and metabolism,12
"Monitoring, Intraoperative",104,Anesthesia and analgesia,11
src-Family Kinases,104,The Journal of biological chemistry,20
Hip Joint,104,Clinical orthopaedics and related research,26
S Phase,104,The Journal of biological chemistry,11
Intracranial Aneurysm,104,Journal of neurosurgery,21
Angiogenesis Inhibitors,104,"Retina (Philadelphia, Pa.)",8
Molecular Dynamics Simulation,104,The journal of physical chemistry. B,31
Complement C3,103,"Journal of immunology (Baltimore, Md. : 1950)",10
"Culture Media, Conditioned",103,The Journal of biological chemistry,5
Cell Size,103,The Journal of biological chemistry,7
Bacillus,103,Journal of bacteriology,12
Gastrectomy,103,Gan to kagaku ryoho. Cancer & chemotherapy,19
Viral Vaccines,103,Journal of virology,10
Steroids,103,The Journal of steroid biochemistry and molecular biology,6
Ligation,103,"Hepatology (Baltimore, Md.)",6
Umbilical Veins,103,The Journal of biological chemistry,7
Glioblastoma,103,Journal of neurosurgery,8
Conservation of Natural Resources,103,Water science and technology : a journal of the International Association on Water Pollution Research,15
Calcitriol,103,Biochimica et biophysica acta,5
Hydroxymethylglutaryl-CoA Reductase Inhibitors,103,The American journal of cardiology,5
Linkage Disequilibrium,103,American journal of human genetics,13
Chromosome Banding,103,Cancer genetics and cytogenetics,22
Carbachol,103,The American journal of physiology,15
Hypothyroidism,103,The Journal of clinical endocrinology and metabolism,15
Body Patterning,103,"Development (Cambridge, England)",46
Dextrans,102,"Journal of immunology (Baltimore, Md. : 1950)",5
Carbon Monoxide,102,The Journal of biological chemistry,10
"Leukemia, Lymphocytic, Chronic, B-Cell",102,Blood,14
Neck,102,The Laryngoscope,7
Enzyme Precursors,102,The Journal of biological chemistry,16
Quinazolines,102,Journal of medicinal chemistry,9
Listeria monocytogenes,102,Infection and immunity,14
Poly A,102,The Journal of biological chemistry,12
Glutamates,102,Journal of bacteriology,12
Splenectomy,102,American journal of surgery,5
Hepatitis B Surface Antigens,102,"Hepatology (Baltimore, Md.)",8
Tissue Plasminogen Activator,102,Stroke; a journal of cerebral circulation,8
"Receptors, Adrenergic, beta",102,The Journal of biological chemistry,10
Exocytosis,102,The Journal of biological chemistry,13
Pigment Epithelium of Eye,102,Investigative ophthalmology & visual science,24
Nickel,102,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",5
Immunoglobulin Fab Fragments,102,Proceedings of the National Academy of Sciences of the United States of America,9
Deoxycytidine,102,Gan to kagaku ryoho. Cancer & chemotherapy,10
"Electrophoresis, Gel, Pulsed-Field",102,Journal of clinical microbiology,17
Granulocyte Colony-Stimulating Factor,102,Blood,11
NADPH Oxidase,101,The Journal of biological chemistry,12
Gastroesophageal Reflux,101,Digestive diseases and sciences,9
DNA Fragmentation,101,Journal of neurochemistry,6
Macular Degeneration,101,American journal of ophthalmology,13
Glutamine,101,The Journal of biological chemistry,15
Blood Gas Analysis,101,Critical care medicine,9
Quaternary Ammonium Compounds,101,Langmuir : the ACS journal of surfaces and colloids,7
Hysterectomy,101,Obstetrics and gynecology,13
Cartilage,101,The Journal of biological chemistry,7
Cocaine,101,The Journal of pharmacology and experimental therapeutics,12
Galactose,101,The Journal of biological chemistry,7
beta-Lactamases,101,The Journal of antimicrobial chemotherapy,18
Caenorhabditis elegans Proteins,101,Developmental biology,12
L Cells (Cell Line),101,The Journal of biological chemistry,13
False Negative Reactions,101,American journal of clinical pathology,7
Fibroblast Growth Factor 2,101,Biochemical and biophysical research communications,8
Multiprotein Complexes,101,The Journal of biological chemistry,22
"Radiotherapy Planning, Computer-Assisted",101,"International journal of radiation oncology, biology, physics",43
Zinc Fingers,101,The Journal of biological chemistry,18
Substance P,101,"Journal of immunology (Baltimore, Md. : 1950)",6
Papillomavirus Infections,101,International journal of cancer. Journal international du cancer,8
Atherosclerosis,101,"Arteriosclerosis, thrombosis, and vascular biology",14
Infant Mortality,101,American journal of obstetrics and gynecology,10
Vasopressins,100,The American journal of physiology,18
"Societies, Medical",100,Archives of pathology & laboratory medicine,6
Sodium Channels,100,The Journal of biological chemistry,12
Chromatin Immunoprecipitation,100,The Journal of biological chemistry,13
Dimethyl Sulfoxide,100,The Journal of biological chemistry,5
"Epitopes, T-Lymphocyte",100,"Journal of immunology (Baltimore, Md. : 1950)",28
"Signal Processing, Computer-Assisted",100,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,6
Chymotrypsin,100,Biochemistry,14
Hypoglycemia,100,Diabetes,13
Diabetic Retinopathy,100,The British journal of ophthalmology,12
Immunoglobulin Variable Region,100,"Journal of immunology (Baltimore, Md. : 1950)",22
Saphenous Vein,100,The Annals of thoracic surgery,18
Proto-Oncogene Proteins c-myc,100,Oncogene,17
Vitamin D,100,The Journal of steroid biochemistry and molecular biology,8
Digestive System,100,Infection and immunity,7
Nursing Homes,100,Journal of the American Geriatrics Society,15
Oxidants,99,The Journal of biological chemistry,8
Child Development,99,The Journal of pediatrics,10
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",99,Leukemia,16
Physical Therapy Modalities,99,Physical therapy,32
Gastrointestinal Motility,99,Gut,12
Electrolytes,99,Langmuir : the ACS journal of surfaces and colloids,9
Phospholipases A2,99,Biochimica et biophysica acta,13
"Virulence Factors, Bordetella",99,The Journal of biological chemistry,18
Methylprednisolone,99,Clinical nephrology,5
"Glaucoma, Open-Angle",99,Ophthalmology,16
Yeasts,99,The Journal of biological chemistry,9
Adrenal Gland Neoplasms,99,The Journal of clinical endocrinology and metabolism,7
Naphthalenes,99,Journal of medicinal chemistry,8
Prostatic Hyperplasia,99,Urology,19
Trees,99,Ecology,11
Guideline Adherence,99,American journal of infection control,5
Vitrectomy,99,"Retina (Philadelphia, Pa.)",23
Adoptive Transfer,99,"Journal of immunology (Baltimore, Md. : 1950)",33
Endonucleases,99,Nucleic acids research,15
Carbohydrate Metabolism,99,Journal of bacteriology,9
"Spores, Bacterial",99,Journal of bacteriology,28
Geriatric Assessment,99,Journal of the American Geriatrics Society,25
Urethra,98,The Journal of urology,37
Vomiting,98,Gan to kagaku ryoho. Cancer & chemotherapy,5
Brain Stem,98,The Journal of neuroscience : the official journal of the Society for Neuroscience,8
Vascular Patency,98,Journal of vascular surgery,25
Neuroprotective Agents,98,Experimental neurology,11
Surface Plasmon Resonance,98,The Journal of biological chemistry,21
Liver Function Tests,98,The American journal of gastroenterology,6
Poly(ADP-ribose) Polymerases,98,Biochemical and biophysical research communications,10
"Hospitals, Teaching",98,East African medical journal,6
Endometriosis,98,Fertility and sterility,32
Radioisotopes,98,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",9
Risk-Taking,98,American journal of public health,9
"Receptors, Glucocorticoid",98,The Journal of biological chemistry,10
"Radiography, Thoracic",98,AJR. American journal of roentgenology,12
"Plants, Toxic",98,Plant molecular biology,13
Mental Recall,98,Perceptual and motor skills,10
DNA Fingerprinting,97,Journal of clinical microbiology,14
"Carcinoma, Ductal, Breast",97,Cancer,8
Amniotic Fluid,97,American journal of obstetrics and gynecology,25
Bone Transplantation,97,Clinical orthopaedics and related research,17
Glycoside Hydrolases,97,The Journal of biological chemistry,10
Cerebral Arteries,97,Stroke; a journal of cerebral circulation,24
Anions,97,The American journal of physiology,8
Peripheral Nervous System Diseases,97,Neurology,8
Insect Vectors,97,The American journal of tropical medicine and hygiene,21
CpG Islands,97,Nucleic acids research,7
Proteinuria,97,Clinical nephrology,9
Bone Resorption,97,Endocrinology,10
Microinjections,97,The Journal of neuroscience : the official journal of the Society for Neuroscience,10
"DNA, Protozoan",97,The Journal of parasitology,11
Bleomycin,97,Cancer,7
Cryopreservation,96,Fertility and sterility,18
Nifedipine,96,The American journal of cardiology,6
Glomerulonephritis,96,Clinical nephrology,13
Camptothecin,96,Gan to kagaku ryoho. Cancer & chemotherapy,11
"Anesthetics, Inhalation",96,Anesthesia and analgesia,19
"Fracture Fixation, Internal",96,Clinical orthopaedics and related research,16
Cyclooxygenase Inhibitors,96,Journal of medicinal chemistry,6
Immunologic Techniques,96,Journal of immunological methods,10
Drug Delivery Systems,96,"Journal of immunology (Baltimore, Md. : 1950)",4
Triazoles,96,Journal of medicinal chemistry,9
Sialoglycoproteins,96,The Journal of biological chemistry,8
Gastrointestinal Diseases,96,Digestive diseases and sciences,4
Eye Diseases,96,Ophthalmology,14
AIDS-Related Opportunistic Infections,96,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,8
"Metals, Heavy",96,Chemosphere,18
New York,96,Pediatrics,6
Tensile Strength,96,American journal of dentistry,10
"Anemia, Sickle Cell",96,Blood,15
Choroid,96,Investigative ophthalmology & visual science,13
"Shock, Septic",96,Critical care medicine,17
Bronchoscopy,96,Chest,26
Leadership,96,The Journal of nursing administration,8
Free Radical Scavengers,96,Journal of natural products,4
Theophylline,96,The Biochemical journal,6
Monosaccharide Transport Proteins,96,The Journal of biological chemistry,13
Penis,96,The Journal of urology,39
Clinical Protocols,96,Trials,12
Maxilla,96,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",23
Mucous Membrane,96,"The Annals of otology, rhinology, and laryngology",6
Intraoperative Period,95,The Annals of thoracic surgery,6
Mammals,95,The Journal of biological chemistry,15
"Deoxyribonucleases, Type II Site-Specific",95,Nucleic acids research,7
Food,95,The American journal of clinical nutrition,7
alpha-Fetoproteins,95,Obstetrics and gynecology,6
Industrial Waste,95,Water science and technology : a journal of the International Association on Water Pollution Research,21
Protein Tyrosine Phosphatases,95,The Journal of biological chemistry,15
